Date,IONQ,RGTI,QBTS,QUBT
2023-01-03,3.4600000381469727,0.7279999852180481,1.440000057220459,1.5199999809265137
2023-01-04,3.609999895095825,0.8140000104904175,1.2899999618530273,1.5499999523162842
2023-01-05,3.640000104904175,0.7630000114440918,1.149999976158142,1.6399999856948853
2023-01-06,3.7699999809265137,0.75,1.100000023841858,1.6299999952316284
2023-01-09,3.809999942779541,0.7599999904632568,1.0499999523162842,1.7400000095367432
2023-01-10,3.809999942779541,0.7749999761581421,1.1100000143051147,1.7300000190734863
2023-01-11,3.859999895095825,0.7990000247955322,1.1100000143051147,1.7400000095367432
2023-01-12,4.050000190734863,0.8479999899864197,1.340000033378601,1.7050000429153442
2023-01-13,4.409999847412109,0.9200000166893005,1.6799999475479126,1.7400000095367432
2023-01-17,4.349999904632568,1.0,1.5099999904632568,1.7300000190734863
2023-01-18,4.199999809265137,0.9459999799728394,1.4500000476837158,1.649999976158142
2023-01-19,4.019999980926514,0.8709999918937683,1.340000033378601,1.7100000381469727
2023-01-20,4.340000152587891,0.8930000066757202,1.2999999523162842,1.75
2023-01-23,4.5,0.8989999890327454,1.2799999713897705,1.9299999475479126
2023-01-24,4.440000057220459,0.8700000047683716,1.25,1.8700000047683716
2023-01-25,4.5,0.8500000238418579,1.2100000381469727,1.899999976158142
2023-01-26,4.539999961853027,0.8090000152587891,1.2200000286102295,1.840000033378601
2023-01-27,4.489999771118164,0.8040000200271606,1.2400000095367432,1.7999999523162842
2023-01-30,4.460000038146973,0.7720000147819519,1.159999966621399,1.7799999713897705
2023-01-31,4.440000057220459,0.781000018119812,1.25,1.7599999904632568
