Date,AAPL,MSFT,GOOGL,AMZN
2023-01-03,122.98269653320312,233.45281982421875,88.38946533203125,85.81999969482422
2023-01-04,124.25118255615234,223.2408447265625,87.35798645019531,85.13999938964844
2023-01-05,122.93356323242188,216.6244659423828,85.49340057373047,83.12000274658203
2023-01-06,127.45679473876953,219.1774444580078,86.62403869628906,86.08000183105469
2023-01-09,127.9779281616211,221.31146240234375,87.29846954345703,87.36000061035156
2023-01-10,128.5482635498047,222.9972381591797,87.69519805908203,89.87000274658203
2023-01-11,131.26217651367188,229.74026489257812,90.769775390625,95.08999633789062
2023-01-12,131.1835479736328,232.41015625,90.38298034667969,95.2699966430664
2023-01-13,132.51101684570312,233.11172485351562,91.3648681640625,98.12000274658203
2023-01-17,133.67132568359375,234.20310974121094,90.54167938232422,96.05000305175781
2023-01-18,132.95347595214844,229.7792205810547,90.37307739257812,95.45999908447266
2023-01-19,133.01246643066406,225.99842834472656,92.2872543334961,93.68000030517578
2023-01-20,135.56910705566406,234.076416015625,97.21650695800781,97.25
2023-01-23,138.7550048828125,236.37608337402344,98.97200012207031,97.5199966430664
2023-01-24,140.1513214111328,235.84988403320312,96.89913177490234,96.31999969482422
2023-01-25,139.4925079345703,234.4564666748047,94.439453125,97.18000030517578
2023-01-26,141.5574951171875,241.65745544433594,96.72059631347656,99.22000122070312
2023-01-27,143.49459838867188,241.81336975097656,98.5554428100586,102.23999786376953
2023-01-30,140.61349487304688,236.5027313232422,96.14537048339844,100.55000305175781
2023-01-31,141.88194274902344,241.47235107421875,98.02977752685547,103.12999725341797
