Date,IBM,HON,ACN,NVDA
2023-01-03,125.2287826538086,188.41456604003906,255.96820068359375,14.299909591674805
2023-01-04,126.15770721435547,184.6691131591797,255.0968017578125,14.733452796936035
2023-01-05,124.83949279785156,179.77191162109375,249.07313537597656,14.24996280670166
2023-01-06,127.13084411621094,184.8712921142578,254.97372436523438,14.843335151672363
2023-01-09,126.9981689453125,185.2230224609375,259.273681640625,15.61152458190918
2023-01-10,128.10403442382812,185.81210327148438,260.3912353515625,15.892229080200195
2023-01-11,128.51095581054688,186.6561279296875,267.30499267578125,15.984129905700684
2023-01-12,128.76754760742188,189.8916473388672,269.9296875,16.493595123291016
2023-01-13,129.06832885742188,190.44554138183594,268.3130798339844,16.881187438964844
2023-01-17,128.44903564453125,186.60337829589844,270.9187316894531,17.6833438873291
2023-01-18,124.22023010253906,179.5697021484375,264.28082275390625,17.35868263244629
2023-01-19,124.40599060058594,176.4221649169922,259.5163269042969,16.74732780456543
2023-01-20,124.91912078857422,177.6266632080078,266.724853515625,17.820194244384766
2023-01-23,125.50301361083984,179.76312255859375,265.6502380371094,19.17276954650879
2023-01-24,125.1756820678711,181.93478393554688,261.3992614746094,19.244693756103516
2023-01-25,124.52985382080078,181.7061767578125,259.7730712890625,19.302631378173828
2023-01-26,118.94742584228516,184.06248474121094,260.8191833496094,19.781124114990234
2023-01-27,118.89433288574219,182.9898223876953,263.6816711425781,20.343530654907227
2023-01-30,119.69941711425781,180.92369079589844,260.87628173828125,19.14179801940918
2023-01-31,119.19515228271484,183.2975616455078,265.37445068359375,19.516407012939453
