Date,AAPL,MSFT,GOOGL,AMZN,IONQ,RGTI,QBTS,QUBT,IBM,HON,ACN,NVDA,XOM,DAL,NEM,JPM
2023-01-03,122.98271942138672,233.45278930664062,88.38947296142578,85.81999969482422,3.4600000381469727,0.7279999852180481,1.440000057220459,1.5199999809265137,125.2287826538086,187.38470458984375,255.9682159423828,14.299908638000488,94.79082489013672,31.554616928100586,45.62482833862305,124.29261016845703
2023-01-04,124.25118255615234,223.24082946777344,87.35798645019531,85.13999938964844,3.609999895095825,0.8140000104904175,1.2899999618530273,1.5499999523162842,126.1576919555664,183.65975952148438,255.0968475341797,14.733452796936035,95.06670379638672,33.27700424194336,47.40085983276367,125.45166015625
2023-01-05,122.93355560302734,216.6244659423828,85.4933853149414,83.12000274658203,3.640000104904175,0.7630000114440918,1.149999976158142,1.6399999856948853,124.83949279785156,178.78932189941406,249.07321166992188,14.24996280670166,97.1937255859375,34.089820861816406,47.124794006347656,125.423828125
2023-01-06,127.45677947998047,219.17745971679688,86.62405395507812,86.08000183105469,3.7699999809265137,0.75,1.100000023841858,1.6299999952316284,127.130859375,183.8608856201172,254.9737548828125,14.84333610534668,98.36849975585938,34.86392593383789,48.486724853515625,127.82389068603516
2023-01-09,127.9779281616211,221.3114471435547,87.29847717285156,87.36000061035156,3.809999942779541,0.7599999904632568,1.0499999523162842,1.7400000095367432,126.9981689453125,184.21063232421875,259.2735900878906,15.611527442932129,96.53515625,35.579978942871094,48.05421447753906,127.29570007324219
2023-01-10,128.54824829101562,222.99720764160156,87.69520568847656,89.87000274658203,3.809999942779541,0.7749999761581421,1.1100000143051147,1.7300000190734863,128.1040496826172,184.79647827148438,260.3912353515625,15.892229080200195,97.97691345214844,36.85725784301758,48.910030364990234,128.43548583984375
2023-01-11,131.26220703125,229.74026489257812,90.76979064941406,95.08999633789062,3.859999895095825,0.7990000247955322,1.1100000143051147,1.7400000095367432,128.51097106933594,185.63592529296875,267.304931640625,15.984132766723633,99.1160888671875,36.9443473815918,48.27507400512695,129.3899688720703
2023-01-12,131.1835479736328,232.41012573242188,90.38298034667969,95.2699966430664,4.050000190734863,0.8479999899864197,1.340000033378601,1.7050000429153442,128.76754760742188,188.8537139892578,269.9296569824219,16.49359130859375,100.76251983642578,38.31839370727539,49.14009475708008,129.26022338867188
2023-01-13,132.510986328125,233.11175537109375,91.3648681640625,98.12000274658203,4.409999847412109,0.9200000166893005,1.6799999475479126,1.7400000095367432,129.0683135986328,189.40460205078125,268.31298828125,16.88118553161621,100.70023345947266,36.96369552612305,50.014305114746094,132.52207946777344
2023-01-17,133.67132568359375,234.203125,90.54167175292969,96.05000305175781,4.349999904632568,1.0,1.5099999904632568,1.7300000190734863,128.4490509033203,185.58346557617188,270.9187316894531,17.683340072631836,100.50443267822266,37.02175521850586,48.284278869628906,130.4741668701172
2023-01-18,132.95352172851562,229.77920532226562,90.37307739257812,95.45999908447266,4.199999809265137,0.9459999799728394,1.4500000476837158,1.649999976158142,124.2201919555664,178.5882568359375,264.2807922363281,17.35868263244629,98.43968200683594,37.137874603271484,47.41926193237305,126.55438232421875
2023-01-19,133.0124969482422,225.9984588623047,92.28724670410156,93.68000030517578,4.019999980926514,0.8709999918937683,1.340000033378601,1.7100000381469727,124.40601348876953,175.45785522460938,259.5163269042969,16.747329711914062,99.07157135009766,37.10884475708008,48.284278869628906,124.86784362792969
2023-01-20,135.56910705566406,234.0764617919922,97.21649932861328,97.25,4.340000152587891,0.8930000066757202,1.2999999523162842,1.75,124.91912078857422,176.65579223632812,266.7248229980469,17.820194244384766,100.87821960449219,37.7668342590332,49.08487319946289,125.17362976074219
2023-01-23,138.7550506591797,236.37608337402344,98.97199249267578,97.5199966430664,4.5,0.8989999890327454,1.2799999713897705,1.9299999475479126,125.50300598144531,178.78057861328125,265.6502380371094,19.172767639160156,100.3531265258789,37.815223693847656,49.35173797607422,127.20303344726562
2023-01-24,140.15135192871094,235.84991455078125,96.89911651611328,96.31999969482422,4.440000057220459,0.8700000047683716,1.25,1.8700000047683716,125.17566680908203,180.9403839111328,261.3992919921875,19.24468994140625,101.28759002685547,37.544281005859375,49.130882263183594,128.29649353027344
2023-01-25,139.4924774169922,234.45643615722656,94.43946075439453,97.18000030517578,4.5,0.8500000238418579,1.2100000381469727,1.899999976158142,124.52984619140625,180.7130126953125,259.7730712890625,19.302631378173828,100.75362396240234,38.10551071166992,50.69526672363281,128.9173583984375
2023-01-26,141.55746459960938,241.657470703125,96.72059631347656,99.22000122070312,4.539999961853027,0.8090000152587891,1.2200000286102295,1.840000033378601,118.9474105834961,183.05645751953125,260.8191833496094,19.781129837036133,104.80299377441406,37.950687408447266,49.81184768676758,129.7142791748047
2023-01-27,143.4945831298828,241.81336975097656,98.55545043945312,102.23999786376953,4.489999771118164,0.8040000200271606,1.2400000095367432,1.7999999523162842,118.89435577392578,181.98965454101562,263.681640625,20.343534469604492,102.8895492553711,37.4765510559082,49.06646728515625,130.02935791015625
2023-01-30,140.6134796142578,236.50274658203125,96.14535522460938,100.55000305175781,4.460000038146973,0.7720000147819519,1.159999966621399,1.7799999713897705,119.69942474365234,179.93482971191406,260.876220703125,19.141801834106445,101.06510925292969,37.157230377197266,48.532737731933594,128.9266357421875
2023-01-31,141.88192749023438,241.47230529785156,98.02977752685547,103.12999725341797,4.440000057220459,0.781000018119812,1.25,1.7599999904632568,119.19513702392578,182.2957305908203,265.3744201660156,19.516408920288086,103.24552917480469,37.834564208984375,48.707576751708984,129.69573974609375
