date,AAPL,MSFT,NVDA,AMZN,META,GOOGL,TSLA,AVGO,WMT,JPM,XOM,V,JNJ,MA,COST
2024-02-20,179.92254638671875,397.60662841796875,69.41333770751953,167.0800018310547,468.47747802734375,140.0617218017578,193.75999450683594,119.9410400390625,57.37648010253906,172.18263244628906,96.09333801269531,271.0836181640625,149.59817504882813,446.6190490722656,717.8056640625
2024-02-21,180.67572021484375,397.00445556640625,67.43443298339844,168.58999633789063,465.2764587402344,141.4810028076172,194.77000427246094,120.02906036376953,56.671756744384766,173.3035125732422,98.0572738647461,272.66986083984375,150.375244140625,453.8360595703125,715.1646728515625
2024-02-22,182.7071990966797,406.3525695800781,78.49427032470703,174.5800018310547,483.2699890136719,143.0094451904297,197.41000366210938,127.60269165039063,57.22966384887695,175.38241577148438,97.97310638427734,279.5565185546875,152.0526123046875,466.2039794921875,726.4210205078125
2024-02-23,180.87388610839844,405.0594177246094,78.77311706542969,174.99000549316406,481.182373046875,142.8804473876953,191.97000122070313,126.76856994628906,57.27860641479492,176.2637481689453,97.11270904541016,279.40875244140625,153.36985778808594,468.0429382324219,729.9127197265625
2024-02-26,179.5261688232422,402.29547119140625,79.0479736328125,174.72999572753906,478.90582275390625,136.53836059570313,199.39999389648438,128.01634216308594,58.335689544677734,175.6602020263672,97.49615478515625,279.9505920410156,152.37481689453125,469.1204833984375,737.25213623046875
2024-02-27,180.98289489746094,402.23626708984375,78.65717315673828,173.5399932861328,484.1845397949219,137.8385467529297,199.72999572753906,126.7548599243164,58.32590866088867,175.74642944335938,97.29039764404297,278.985107421875,152.5548553466797,469.3577575683594,736.619140625
2024-02-28,179.7838134765625,402.4731750488281,77.61975860595703,173.16000366210938,481.17236328125,135.35726928710938,202.0399932861328,126.08895111083984,58.35527038574219,176.63739013671875,97.5616226196289,281.4087219238281,153.0950469970703,473.4112243652344,739.833740234375
2024-02-29,179.1198272705078,408.3169860839844,79.06794738769531,176.75999450683594,487.2464904785156,137.4216766357422,201.8800048828125,127.17144775390625,57.366695404052734,178.246826171875,97.7486572265625,278.462890625,152.9339599609375,469.36767578125,735.80792236328125
2024-03-01,178.03970336914063,410.153076171875,82.233184814453125,178.22000122070313,499.3448486328125,136.11155700683594,202.63999938964844,136.8211212158203,57.51350402832031,177.50917053222656,98.98314666748047,278.9752502441406,153.6352081298828,471.2164001464844,741.29766845703125
2024-03-04,173.5208282470703,409.58050537109375,85.189544677734375,177.5800018310547,495.259033203125,132.3500213623047,188.13999938964844,137.12326049804688,58.04206085205078,178.84078979492188,97.59903717041016,276.3841247558594,151.47454833984375,463.16888427734375,750.93182373046875
2024-03-05,168.58570861816406,397.4684143066406,85.92017364501953,174.1199951171875,487.3359375,131.67510986328125,180.74000549316406,131.30393981933594,58.7663688659668,180.63226318359375,98.79608917236328,275.25103759765625,151.59771728515625,462.20989990234375,751.6934814453125
2024-03-06,167.59474182128906,396.9156494140625,88.65476989746094,173.50999450683594,493.17138671875,130.4146270751953,176.5399932861328,132.01290893554688,59.28512191772461,181.57110595703125,99.8528823852539,276.2855529785156,151.00071716308594,466.24359130859375,764.8389892578125
2024-03-07,167.475830078125,403.8748474121094,92.62174224853516,176.82000732421875,509.17669677734375,133.3722686767578,178.64999389648438,137.58775329589844,59.079566955566406,179.98081970214844,100.41402435302734,274.14764404296875,150.5552978515625,462.22967529296875,777.05487060546875
2024-03-08,169.19021606445313,400.99249267578125,87.483367919921875,175.35000610351563,502.9733581542969,134.39454650878906,175.33999633789063,127.97624206542969,58.844661712646484,180.3161163330078,101.35858917236328,275.9013366699219,151.17129516601563,463.93011474609375,717.67706298828125
2024-03-11,171.19198608398438,399.3143615722656,85.73026275634766,171.9600067138672,480.7449035644531,136.63760375976563,177.77000427246094,126.45074462890625,59.37321090698242,180.3831787109375,101.9571304321289,276.41363525390625,152.7917938232422,463.8312683105469,706.3218994140625
2024-03-12,171.66769409179688,409.9358825683594,91.86613464355469,175.38999938964844,496.8099060058594,137.4613800048828,177.5399932861328,126.3294906616211,60.1072998046875,181.86807250976563,101.30248260498047,279.7240295410156,154.22276306152344,467.4991149902344,728.8741455078125
2024-03-13,169.5866241455078,409.7581787109375,90.841644287109375,176.55999755859375,492.6544189453125,138.74169921875,169.47999572753906,123.00375366210938,59.98005294799805,183.3434295654297,102.43408966064453,280.92596435546875,152.66859436035156,470.2080078125,726.2232666015625
2024-03-14,171.43975830078125,419.7479553222656,87.89915466308594,178.75,488.93646240234375,142.0269012451172,162.5,123.43400573730469,59.928985595703125,180.07662963867188,104.24840545654297,282.1772155761719,150.8775177001953,474.0340881347656,723.99761962890625
2024-03-15,171.0631866455078,411.06121826171875,87.7922134399414,174.4199981689453,481.2519226074219,140.12127685546875,163.57000732421875,120.81624603271484,59.59506607055664,182.3087921142578,104.06134796142578,278.85699462890625,149.90139770507813,470.4255065917969,717.746337890625
2024-03-18,172.15325927734375,411.94964599609375,88.40989685058594,174.47999572753906,494.05615234375,146.572509765625,173.8000030517578,120.98639678955078,59.771846771240234,184.56967163085938,105.02465057373047,280.8372802734375,148.55572509765625,473.4507751464844,723.59210205078125
2024-03-19,174.49197387695313,415.9869689941406,89.3524169921875,175.89999389648438,493.32049560546875,145.92739868164063,171.32000732421875,121.06169891357422,59.78166198730469,185.6522216796875,105.7634506225586,283.1033020019531,148.03453063964844,478.50274658203125,724.21514892578125
