Date,XOM,DAL,NEM,JPM
2020-01-02,53.306419372558594,56.737152099609375,36.191307067871094,118.43032836914062
2020-01-03,52.87784957885742,55.79538345336914,35.8647346496582,116.86746978759766
2020-01-06,53.28386688232422,55.41098403930664,36.224815368652344,116.7745590209961
2020-01-07,52.847782135009766,55.362937927246094,36.19968795776367,114.789306640625
2020-01-08,52.05082702636719,56.554569244384766,35.2367057800293,115.68478393554688
2020-01-09,52.44930648803711,56.660274505615234,34.885005950927734,116.107177734375
2020-01-10,51.983158111572266,56.929351806640625,35.39582061767578,114.94982147216797
2020-01-13,52.479373931884766,57.16960525512695,35.546531677246094,115.9044189453125
2020-01-14,52.02826690673828,59.05315017700195,35.8647346496582,117.25608825683594
2020-01-15,51.94554901123047,59.21651840209961,36.44253158569336,115.49891662597656
2020-01-16,51.7425422668457,59.46638488769531,36.6937370300293,115.94664764404297
2020-01-17,51.54707717895508,59.61052703857422,36.40902328491211,116.74922943115234
2020-01-21,50.81024932861328,57.9864501953125,36.60163497924805,115.60031127929688
2020-01-22,50.51703643798828,57.31374740600586,36.66024398803711,115.4651107788086
2020-01-23,50.201255798339844,57.919185638427734,36.59324645996094,115.34684753417969
2020-01-24,49.8629150390625,56.516136169433594,37.087303161621094,112.48302459716797
2020-01-27,48.67499923706055,54.61335754394531,37.31339645385742,111.536865234375
2020-01-28,48.60732650756836,55.23800277709961,37.095680236816406,113.56436157226562
2020-01-29,48.201332092285156,54.44038009643555,37.363643646240234,113.39540100097656
2020-01-30,48.71258544921875,54.87282180786133,37.65671920776367,114.79773712158203
